Player,Position,Age,Tm,Lg,Season,G_total_player,GS_total_player,MP_total_player,FGM_total_player,FGA_total_player,TWOPM_total_player,TWOPA_total_player,THREEPM_total_player,THREEPA_total_player,FT_total__player,FTA_total_player,ORB_total_player,DRB_total__player,TRB_total_player,AST_total_player,STL_total_player,BLK_total_player,TOV_total_player,PF_total_player,PTS_total_player,FGpercent_player,FGpercent_1_player,USGpercent_1_player,USGpercent_player,TWOPpercent_player,THREEPpercent_player,eFGpercent_player,FTpercent_player,TSpercent_player,FGA2PTpercent_player,FGA3PTpercent_player,PTS2PTpercent_player,PTS2PTpercent MR_player,TWOPTpercentTHREEPT_player,PTSFBPSpercent_player,PTSFTpercent_player,PTSOFFTOpercent_player,PTSPITPpercent_player,TWOFGMpercentAST_player,TWOFGMpercentAST_1_player,UASTpercent_player,THREEFGMpercentAST_player,THREEFGMpercentAST_1_player,THREEFGMpercentUAST_player,THREEFGMpercentUAST_1_player,FGMpercentAST_player,FGMpercentUAST_player,FGM_pg_player,FGA_pg_player,FGpercent_pg_player,THREEPM_pg_player,THREEPA_pg_player,THREEPpercent_pg_player,TWOPM_pg_player,FTM_pg_player,FTA_pg_player,FTpercent_pg_player,FTpercent_pg_1_player,OREB_pg_player,DREB_pg_player,PTS_pg_player,REB_pg_player,AST_pg_player,TOV_pg_player,STL_pg_player,BLK_pg_player,ORBpercent_team,ORBpercent_1_player,Ortg_team,Ortg_1_team,ORB_pg_team,FTA_pg_team,FGA_pg_team,TO_pg_team,PTS_pg_team,PTS_total_team
Dwayne Jones,#N/A,23,CLE,NBA,2007,4,0,18,0,1,0,1,0,0,3,6,1,5,6,0,0,0,2,3,3,0,0,14.1,0.141,0,,0,0.5,0.412,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.8,1.5,50,0.5,0.3,1.3,0.8,1.5,0,0.5,0,0,29.7,0.297,105.5,1.055,12.7,26,81.2,14.4,96.8,7934
Eddie Jones,SG,35,TOT,NBA,2007,64,41,1594,178,422,100,200,78,222,59,75,31,159,190,109,68,10,47,124,493,0.422,42.2,14.9,0.149,0.5,0.351,0.514,0.787,0.542,47.4,52.6,40.6,12.6,47.5,18.3,12,16.2,28,57,0.57,43,93.6,0.936,6.4,0.064,73,27,2.8,6.6,42.2,1.2,3.5,35.1,1.6,0.9,1.2,78.7,0.787,0.5,2.5,7.7,3,1.7,0.7,1.1,0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fred Jones,SG,27,TOT,NBA,2007,63,12,1319,139,361,100,233,39,128,95,114,23,92,115,108,48,16,67,121,412,0.385,38.5,16.8,0.168,0.429,0.305,0.439,0.833,0.501,64.5,35.5,48.5,10.2,28.4,17.7,23.1,18.4,38.3,46,0.46,54,97.4,0.974,2.6,0.026,60.4,39.6,2.2,5.7,38.5,0.6,2,30.5,1.6,1.5,1.8,83.3,0.833,0.4,1.5,6.5,1.8,1.7,1.1,0.8,0.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
James Jones,SG,26,PHO,NBA,2007,76,7,1376,162,440,72,202,90,238,71,81,33,143,176,45,28,42,28,115,485,0.368,36.8,16.7,0.167,0.356,0.378,0.47,0.877,0.51,45.9,54.1,29.7,23.5,55.7,10.1,14.6,14.4,6.2,70.8,0.708,29.2,98.9,0.989,1.1,0.011,86.4,13.6,2.1,5.8,36.8,1.2,3.1,37.8,0.9,0.9,1.1,87.7,0.877,0.4,1.9,6.4,2.3,0.6,0.4,0.4,0.6,22.7,0.227,113.9,1.139,9,22.3,83.6,14.5,110.2,9037
Jumaine Jones,SF,27,PHO,NBA,2007,18,0,138,14,51,4,19,10,32,2,2,6,17,23,1,5,1,7,19,40,0.275,27.5,19.5,0.195,0.211,0.313,0.373,1,0.386,37.3,62.7,20,10,75,7.5,5,17.5,10,75,0.75,25,100,1,0,0,92.9,7.1,0.8,2.8,27.5,0.6,1.8,31.3,0.2,0.1,0.1,100,1,0.3,0.9,2.2,1.3,0.1,0.4,0.3,0.1,22.7,0.227,113.9,1.139,9,22.3,83.6,14.5,110.2,9037
Solomon Jones,PF,22,ATL,NBA,2007,58,8,666,65,128,65,127,0,1,59,75,49,87,136,11,11,42,25,124,189,0.508,50.8,12.8,0.128,0.512,0,0.508,0.787,0.587,99.2,0.8,68.8,4.2,0,7.9,31.2,11.6,64.6,69.2,0.692,30.8,0,0,0,0,69.2,30.8,1.1,2.2,50.8,0,0,0,1.1,1,1.3,78.7,0.787,0.8,1.5,3.3,2.3,0.2,0.4,0.2,0.7,29.2,0.292,103,1.03,11.9,26.9,77.7,15.9,93.7,7680
Chris Kaman,C,24,LAC,NBA,2007,75,66,2176,294,652,294,651,0,1,166,224,160,428,588,79,41,116,147,251,754,0.451,45.1,19.6,0.196,0.452,0,0.451,0.741,0.502,99.8,0.2,78,8.8,0,3.2,22,15.9,69.2,62.2,0.622,37.8,0,0,0,0,62.2,37.8,3.9,8.7,45.1,0,0,0,3.9,2.2,3,74.1,0.741,2.1,5.7,10.1,7.8,1.1,2,0.5,1.5,27.2,0.272,105.1,1.051,10.8,27.4,77,15.1,95.6,7843
Jason Kapono,SG,25,MIA,NBA,2007,67,35,1767,278,563,170,353,108,210,66,74,26,154,180,81,38,2,70,135,730,0.494,49.4,17.9,0.179,0.482,0.514,0.59,0.892,0.613,62.7,37.3,46.6,37.8,44.4,11,9,12.7,8.8,65.3,0.653,34.7,97.2,0.972,2.8,0.028,77.7,22.3,4.1,8.4,49.4,1.6,3.1,51.4,2.5,1,1.1,89.2,0.892,0.4,2.3,10.9,2.7,1.2,1,0.6,0,24.9,0.249,104.3,1.043,10,24.6,76.7,14.6,94.6,7759
Viktor Khryapa,#N/A,24,CHI,NBA,2007,33,0,231,27,70,27,64,0,6,19,26,20,37,57,21,10,1,16,53,73,0.386,38.6,18.5,0.185,0.422,0,0.386,0.731,0.448,91.4,8.6,74,32.9,0,9.6,26,16.4,41.1,81.5,0.815,18.5,0,0,0,0,81.5,18.5,0.8,2.1,38.6,0,0.2,0,0.8,0.6,0.8,73.1,0.731,0.6,1.1,2.2,1.7,0.6,0.5,0.3,0,28.6,0.286,104.9,1.049,12,25.4,81.3,16,98.8,8100
Jason Kidd,PG,33,NJN,NBA,2007,80,80,2933,369,908,245,547,124,361,179,230,135,520,655,736,127,23,213,146,1041,0.406,40.6,19.2,0.192,0.448,0.343,0.475,0.778,0.516,60.2,39.8,47.1,20.6,35.7,18.4,17.2,18.5,26.5,38.8,0.388,61.2,94.4,0.944,5.6,0.056,57.5,42.5,4.6,11.4,40.6,1.6,4.5,34.3,3.1,2.2,2.9,77.8,0.778,1.7,6.5,13,8.2,9.2,2.7,1.6,0.3,24.6,0.246,105.7,1.057,10,26.3,77.8,14.8,97.6,8001
