Player,TEAM,AGE,GP,W,L,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM
Chandler Parsons,MEM,28,34,18,16,19.8,58.1,41.9,47.6,10.5,35.7,13.3,16.7,23.3,37.1,66,34,80,20,70.7,29.3
Channing Frye,CLE,33,72,44,28,18.9,35.2,64.8,29.8,12.6,61.4,4.2,8.8,12.2,17.2,82.5,17.5,100,0,92.6,7.4
Chasson Randle,NYK,24,25,7,18,10.9,50,50,32,0,36,16,32,8.8,32,35,65,66.7,33.3,48.6,51.4
Cheick Diallo,NOP,20,15,8,7,9.5,100,0,82.1,35.7,0,12.5,17.9,16.1,46.4,60.9,39.1,0,0,60.9,39.1
Chinanu Onuaku,HOU,20,4,2,2,7.6,100,0,66.7,0,0,0,33.3,16.7,66.7,75,25,0,0,75,25
Chris Andersen,CLE,38,12,8,4,9.5,86.4,13.6,64.3,7.1,0,0,35.7,7.1,57.1,55.6,44.4,0,0,55.6,44.4
Chris McCullough,WAS,22,15,1,14,4.9,80.6,19.4,83.3,27.8,8.3,22.2,8.3,16.7,55.6,66.7,33.3,100,0,68.8,31.3
Chris Paul,LAC,31,59,41,18,31.5,61.4,38.6,45.7,30.1,33.4,12.5,20.9,13.7,15.5,12.3,87.7,37.8,62.2,20.7,79.3
Christian Wood,CHA,21,12,5,7,7.8,75,25,64.5,0,0,6.5,35.5,19.4,64.5,60,40,0,0,60,40
CJ McCollum,POR,25,80,40,40,34.9,69.5,30.5,55.2,25,30.2,9.7,14.6,12.3,30.2,26,74,74.1,25.9,38.9,61.1
CJ Miles,IND,30,74,37,37,23.4,36.9,63.1,27.4,8.5,62.1,10,10.5,17.1,18.8,56,44,95.2,4.8,79.6,20.4
CJ Wilcox,ORL,26,22,8,14,4.9,51.6,48.4,47.6,38.1,42.9,23.8,9.5,0,9.5,60,40,100,0,75,25
Clint Capela,HOU,22,64,43,21,23.8,100,0,88.2,0.5,0,10.9,11.8,17.6,87.7,82.6,17.4,0,0,82.6,17.4
Cody Zeller,CHA,24,60,33,27,27.9,99.8,0.2,79.6,5.4,0,11,20.4,15.5,74.1,79.5,20.5,0,0,79.5,20.5
Cole Aldrich,MIN,28,61,23,38,8.5,100,0,85.4,0,0,1.9,14.6,14.6,85.4,75,25,0,0,75,25
Corey Brewer,LAL,31,80,46,34,15.5,64.7,35.3,63.5,5.1,22.8,26.1,13.8,23.3,58.4,61.1,38.9,96.3,3.7,67.9,32.1
Cory Joseph,TOR,25,79,48,31,25.3,79.4,20.6,67.8,21.7,19.5,10.8,12.7,16.1,46.1,17.6,82.4,95.8,4.2,30.2,69.8
Courtney Lee,NYK,31,76,28,48,32.1,61.9,38.1,51.3,24.9,38.8,13.8,9.9,19,26.4,52.4,47.6,88.8,11.2,64.6,35.4
Cristiano Felicio,CHI,24,64,29,35,15.7,100,0,80.6,6.5,0,11,19.4,12.3,74.2,64,36,0,0,64,36
D.J. Augustin,ORL,29,76,28,48,19.7,47.3,52.7,32.1,12.1,46.6,12.4,21.3,17.8,20,20.4,79.6,73.7,26.3,46.6,53.4
Damian Jones,GSW,21,9,6,3,7.3,100,0,80,13.3,0,0,20,13.3,66.7,83.3,16.7,0,0,83.3,16.7
Damian Lillard,POR,26,75,38,37,35.9,61.1,38.9,44.2,12.4,31.7,9.4,24.1,13,31.8,23.5,76.5,49.5,50.5,31.9,68.1
Damjan Rudez,ORL,30,44,12,32,7,24.7,75.3,25,17.5,75,7.5,0,10,7.5,70,30,100,0,90,10
D'Angelo Russell,LAL,21,63,21,42,28.7,55.7,44.3,43.9,16.5,41.2,11.1,14.9,17.8,27.4,25.9,74.1,63.7,36.3,40.5,59.5
Daniel Ochefu,WAS,23,18,12,6,3.2,100,0,100,0,0,0,0,0,100,62.5,37.5,0,0,62.5,37.5
Danilo Gallinari,DEN,28,63,31,32,33.9,56.8,43.2,36.5,13.8,33,12.2,30.5,10.2,22.7,50.2,49.8,95.2,4.8,67.2,32.8
Danny Green,SAS,29,66,51,15,26.8,30.4,69.6,22.9,5.3,71.6,15.3,5.5,15.3,17.6,58.9,41.1,93.2,6.8,82.1,17.9
Dante Cunningham,NOP,29,64,27,37,25.1,50,50,47.7,10.1,48.4,16.1,3.9,12.8,37.6,77.8,22.2,100,0,86.7,13.3
Dante Exum,UTA,21,64,38,26,18.4,59.4,40.6,53.6,3.5,32,11.2,14.4,18.9,50.1,30.6,69.4,97.7,2.3,49.7,50.3
Danuel House,WAS,23,1,0,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dario Saric,PHI,23,80,28,52,26.3,63.2,36.8,53.1,10.1,30.6,11.1,16.2,18.3,43,51.6,48.4,92.4,7.6,63,37
Darrell Arthur,DEN,29,39,18,21,15.3,46.7,53.3,34.2,17.5,61.3,6.3,4.6,6.7,16.7,78,22,98,2,88.9,11.1
Darren Collison,SAC,29,68,26,42,30.3,75.5,24.5,59.3,25.8,24.3,16,16.3,17.7,33.6,36,64,75.3,24.7,44.4,55.6
