Player,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,2PM,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,DD2 RANK,TD3 RANK,+/- RANK
Marvin Williams,CHA,30,74,32,42,30.5,11.3,4,9.3,42.5,1.6,4.7,2.3,35.1,1.7,2,87.2,1.1,5.5,6.6,1.4,0.8,0.8,0.7,1.8,11,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Plumlee,DEN,27,79,36,43,26.3,10.3,4.1,7.6,53.4,0,0.1,4.1,0,2.2,3.7,57.8,2.1,5.4,7.5,3.6,1.6,0.9,1.1,2.8,19,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Barnes,GSW,37,74,38,36,24,7.1,2.5,6.4,39.1,1.2,3.6,1.3,33.1,0.9,1.2,78.7,0.9,4.2,5.2,2.6,1.4,0.6,0.4,2.5,4,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Dellavedova,MIL,26,75,38,37,26.2,7.6,2.7,7.1,38.9,1,2.8,1.7,36.6,1.1,1.3,85.4,0.3,1.6,1.9,4.7,1.8,0.7,0,2,0,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Harkless,POR,23,76,38,38,29,10,4.1,8.1,50,0.9,2.6,3.2,35.1,1,1.6,63.9,1.6,2.8,4.5,1.1,1.1,1.1,0.9,2.8,2,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Ndour,NYK,24,31,9,22,9.9,3,1.2,2.6,46.3,0,0.2,1.2,14.3,0.6,0.8,75,0.7,1.4,2,0.3,0.4,0.5,0.2,1,1,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Metta World Peace,LAL,37,23,7,16,5.5,1.6,0.5,2,24.4,0.2,1.1,0.4,19.2,0.4,0.6,64.3,0.2,0.5,0.7,0.4,0.3,0.2,0.1,0.7,0,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,
Meyers Leonard,POR,25,72,36,36,16,5.3,1.9,5,38.3,1,2.9,1.0,34,0.5,0.6,87.5,0.4,2.7,3.1,1,0.5,0.2,0.4,2.3,1,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Beasley,MIL,28,54,22,32,16.4,9.4,3.9,7.1,54.5,0.3,0.7,3.5,43.6,1.4,1.9,74,0.7,2.7,3.4,0.9,1.2,0.4,0.5,1.6,1,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Carter-Williams,CHI,25,43,23,20,19.2,6.8,2.6,7,36.5,0.3,1.5,#N/A,23.8,1.3,1.8,75.3,0.6,3,3.5,2.5,1.5,0.8,0.5,2.3,0,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Gbinije,DET,24,9,7,2,3.5,0.4,0.1,1.1,10,0,0.4,0.1,0,0.2,0.2,100,0.2,0.1,0.3,0.2,0,0,0,0.2,0,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Kidd-Gilchrist,CHA,23,79,36,43,29.1,9.1,3.6,7.6,47.7,0,0.1,#N/A,11.1,1.9,2.4,78.4,1.9,5.1,7,1.4,0.7,1,1,2.3,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Conley,MEM,29,68,35,33,33.4,20.6,6.8,14.7,45.9,2.5,6.1,4.2,40.7,4.6,5.4,86,0.5,3.1,3.5,6.3,2.3,1.3,0.3,1.9,8,0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Dunleavy,ATL,36,51,33,18,15.8,5.2,1.8,4.1,43.1,1,2.5,0.8,40.5,0.6,0.8,78.6,0.3,1.8,2.1,0.9,0.5,0.3,0.1,1.3,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Miller,DEN,37,18,7,11,5.2,1.1,0.3,0.9,37.5,0.3,0.8,0.1,42.9,0.1,0.1,100,0.1,1.2,1.3,0.7,0.5,0.1,0,0.4,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,
