Player,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,2PM,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,DD2 RANK,TD3 RANK,+/- RANK
Aaron Brooks,IND,32,63,34,29,13.7,5,1.9,4.7,40,0.7,2,1.1,36.8,0.5,0.6,80,0.3,0.8,1.1,2,1,0.4,0.1,1.4,0,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Gordon,ORL,21,78,28,50,28.6,12.5,4.8,10.8,45.1,0.9,3.3,4.0,28.5,1.9,2.7,70.7,1.4,3.5,5,1.9,1.1,0.8,0.5,2.2,6,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Harrison,CHA,22,5,2,3,3.3,0.2,0,0.8,0,0,0.4,0.0,0,0.2,0.4,50,0,0.6,0.6,0.6,0,0,0,0.4,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
Adreian Payne,MIN,26,17,5,12,7.6,3.7,1.4,3.2,42.6,0.2,0.9,1.1,20,0.8,1.1,73.7,0.5,1.4,1.9,0.4,0.5,0.5,0.4,1.9,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Hammons,DAL,24,20,3,17,7.2,1.9,0.7,1.9,37.8,0.3,0.5,0.5,50,0.3,0.7,35.7,0.4,1.3,1.7,0.2,0.4,0.1,0.6,1,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Al Horford,BOS,30,66,44,22,32.4,14,5.5,11.8,47.2,1.3,3.6,4.3,35.9,1.6,2,80.6,1.4,5.4,6.8,5,1.7,0.7,1.3,2,8,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
Al Jefferson,IND,32,66,33,33,14.1,8.1,3.6,7.1,49.9,0,0,3.6,0,1,1.3,76.5,1.1,3.1,4.2,0.9,0.5,0.3,0.2,1.9,1,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Anderson,LAC,34,30,20,10,10.3,2.9,1,2.7,37.5,0.5,1.5,0.5,31.8,0.4,0.5,75,0.1,0.7,0.8,0.4,0.2,0.1,0,1.2,0,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Williams,PHX,24,46,11,35,14.8,7.2,2.8,5.6,51,0,0,2.9,0,1.5,2.4,62.5,2,4.1,6.1,0.5,0.8,0.6,0.7,2.6,14,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Burks,UTA,25,40,24,16,15.7,6.9,2.4,6.1,40.1,0.6,1.9,1.8,32.4,1.5,1.9,76.6,0.4,2.4,2.8,0.8,0.9,0.5,0.1,1.2,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Abrines,OKC,23,66,36,30,15.5,5.9,1.9,5,39.1,1.3,3.6,0.6,37.2,0.7,0.7,89.8,0.2,1,1.2,0.6,0.5,0.5,0.1,1.7,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Len,PHX,23,76,21,55,20.3,8,3,6,50,0,0.2,2.9,25,2,2.7,72.1,2,4.6,6.6,0.6,1.3,0.5,1.3,3.1,11,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Poythress,PHI,23,4,0,4,25.5,7.8,2.8,8,34.4,0.3,2.3,3.2,11.1,2,2.5,80,2,3.3,5.3,1,0.5,0.3,0.3,2.5,0,0,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Ajinca,NOP,28,37,14,23,14.5,4.9,2.1,4.3,50,0,0.1,2.3,0,0.6,0.9,72.7,1.2,3.2,4.4,0.3,0.7,0.5,0.6,1.9,1,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Farouq Aminu,POR,26,60,32,28,29.1,8.8,3,7.7,39.6,1.2,3.5,1.9,33.2,1.6,2.2,70.1,1.3,6.2,7.5,1.6,1.6,1,0.7,1.7,4,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Crabbe,POR,25,79,39,40,28.5,10.7,3.8,8.2,46.8,1.7,3.8,2.1,44.4,1.3,1.6,84.7,0.2,2.6,2.9,1.2,0.8,0.7,0.3,2.2,0,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Alonzo Gee,DEN,29,13,4,9,6.9,0.8,0.2,1.1,21.4,0,0.2,0.2,0,0.4,0.7,55.6,0.3,0.8,1.2,0.5,0.3,0.4,0.1,1.1,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Johnson,BOS,29,78,49,29,20.2,6.4,2.6,4.6,57.5,0.3,0.8,2.3,39.7,0.8,1.2,67,1.5,3.1,4.6,1.8,1,0.6,0.8,2.6,0,0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Varejao,GSW,34,14,12,2,6.6,1.3,0.4,1,35.7,0,0,0.4,0,0.6,0.8,72.7,0.9,1.1,1.9,0.7,0.6,0.2,0.2,1.1,0,0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Drummond,DET,23,79,36,43,29.9,13.7,6,11.3,53,0,0.1,5.9,28.6,1.7,4.5,38.6,4.3,9.6,13.8,1.1,1.9,1.5,1.1,2.9,49,0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Iguodala,GSW,33,75,64,11,26.3,7.6,2.9,5.5,52.9,0.9,2.3,2.0,36.4,1,1.3,72,0.7,3.3,4,3.5,0.7,1,0.5,1.3,0,0,7.1,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Roberson,OKC,25,79,46,33,30.1,6.6,2.7,5.9,46.4,0.6,2.3,2.2,24.5,0.6,1.4,42.3,1.2,3.9,5.1,1,0.6,1.2,1,2.6,2,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Bogut,CLE,32,27,8,19,21.6,2.9,1.4,3,46.9,0,0,1.4,0,0.1,0.4,27.3,2.1,6,8.1,1.8,1.6,0.5,0.9,3.2,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Harrison,MEM,22,71,38,33,20.4,5.9,1.6,5,32.5,0.6,2.2,1.0,28.1,2,2.6,76.6,0.3,1.5,1.9,2.8,1.2,0.7,0.3,2.7,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Nicholson,BKN,27,36,20,16,8.7,2.7,1.2,2.9,40.8,0.1,0.7,1.0,20.8,0.3,0.4,64.3,0.4,1.1,1.5,0.3,0.4,0.4,0.2,1.4,0,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Wiggins,MIN,22,80,31,49,37.3,23.7,8.7,19.1,45.4,1.3,3.5,7.4,35.7,5.1,6.6,76.4,1.3,2.8,4,2.3,2.3,1,0.4,2.2,1,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Bennett,BKN,24,23,3,20,11.5,5,1.7,4,41.3,0.6,2.1,1.1,27.1,1.1,1.6,72.2,1.1,2.3,3.4,0.5,0.5,0.2,0.1,0.8,0,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Brown,ORL,24,11,3,8,14.5,3.9,1.6,4.5,36,0.6,2.5,1.0,25.9,0,0,0,0.7,2.3,3,0.7,0.5,0.5,0.1,1.4,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,NOP,24,75,31,44,36.1,28,10.3,20.3,50.5,0.5,1.8,9.7,29.9,6.9,8.6,80.2,2.3,9.5,11.8,2.1,2.4,1.3,2.2,2.2,49,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Morrow,CHI,31,47,23,24,15,5.6,2,5.3,38.5,0.8,2.8,1.2,30,0.7,0.8,91.9,0.3,0.4,0.7,0.5,0.1,0.5,0,0.9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Tolliver,SAC,31,64,25,39,22.7,7,2.4,5.4,44.1,1.4,3.5,1.0,38.9,0.9,1.2,73.3,0.8,2.8,3.6,1.2,0.9,0.5,0.3,1.7,1,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Archie Goodwin,BKN,22,13,8,5,13.1,6.7,2.2,3.9,54.9,0.3,0.9,2.1,33.3,2.1,2.5,84.4,0.2,1.2,1.5,1.5,0.5,0.2,0.3,0.4,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Arinze Onuaku,ORL,29,8,3,5,3.5,0.5,0.3,0.5,50,0,0,0.3,0,0,0,0,0.3,0.5,0.8,0.3,0.3,0,0.1,0.4,0,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Aron Baynes,DET,30,75,34,41,15.5,4.9,1.9,3.7,51.3,0,0,1.9,0,1.1,1.3,84,1.5,3,4.4,0.4,0.7,0.2,0.5,2.2,2,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Arron Afflalo,SAC,31,60,23,37,25.8,8.3,3,6.8,43.3,1,2.5,2.0,41.1,1.4,1.5,89,0.2,1.9,2.1,1.2,0.7,0.4,0.1,1.7,0,0,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Rivers,LAC,24,74,43,31,27.8,12,4.4,9.9,44.2,1.5,4,2.9,37.1,1.8,2.6,69.1,0.3,1.9,2.2,2.8,1.6,0.6,0.1,2.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Avery Bradley,BOS,26,53,32,21,33.4,16.4,6.6,14.3,46,2,5.1,4.6,39,1.3,1.7,72.8,1.2,5,6.2,2.2,1.7,1.3,0.2,2.6,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Toupane,MIL,24,2,1,1,3,0,0,0.5,0,0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Bentil,DAL,22,3,2,1,3.3,0,0,1,0,0,0.3,0.0,0,0,0,0,0,0.7,0.7,0,0.3,0,0,0.3,0,0,-4,,,,,,,,,,,,,,,,,,,,,,,,,
Ben McLemore,SAC,24,59,26,33,19,7.9,2.9,6.8,42.9,1.1,2.8,1.9,38.8,1,1.4,76.3,0.3,1.6,1.9,0.8,1.1,0.5,0.1,1.7,0,0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Beno Udrih,DET,34,39,18,21,14.4,5.8,2.4,5.1,46.7,0.3,0.8,2.1,34.4,0.8,0.9,94.1,0.2,1.3,1.5,3.4,0.9,0.3,0,0.7,0,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
Bismack Biyombo,ORL,24,79,28,51,22.4,6,2.2,4.2,53,0,0,2.2,0,1.5,2.9,52.8,1.9,5.1,7.1,0.9,1.2,0.3,1.1,2.5,10,0,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Griffin,LAC,28,59,38,21,34.2,21.7,7.9,16,49.4,0.6,1.9,7.2,34.5,5.3,7,75.5,1.8,6.3,8.1,4.9,2.4,0.9,0.4,2.6,19,1,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
Boban Marjanovic,DET,28,33,16,17,7.7,5.1,1.9,3.4,55.4,0,0,2.1,0,1.4,1.7,80.4,1.1,2.2,3.4,0.3,0.2,0.1,0.3,0.6,4,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Brown,HOU,32,23,17,6,3.9,2,0.7,2,37.8,0.5,1.2,0.4,40.7,0.1,0.1,100,0,0.3,0.3,0.2,0.2,0,0,0.2,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Portis,CHI,22,62,28,34,15.5,6.7,2.8,5.8,48.5,0.5,1.5,2.4,31.9,0.6,0.9,66.7,1.1,3.4,4.5,0.5,0.6,0.2,0.2,1.5,4,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Bojan Bogdanovic,WAS,27,79,22,57,25.9,13.9,4.7,10.5,44.6,1.8,4.9,2.9,36.6,2.7,3.1,89.2,0.5,3,3.4,1.4,1.6,0.4,0.1,1.8,0,0,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,
Boris Diaw,UTA,34,71,43,28,17.5,4.6,2,4.5,44.6,0.3,1.1,1.7,25.3,0.3,0.4,71,0.6,1.5,2.2,2.3,1.2,0.2,0.1,1.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley Beal,WAS,23,76,47,29,34.9,23,8.2,17.1,47.9,2.9,7.2,5.4,40.4,3.7,4.4,82.2,0.7,2.4,3.1,3.5,2,1.1,0.3,2.2,1,0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Brandan Wright,MEM,29,27,14,13,16,6.9,3,4.9,62.1,0,0,3.0,0,0.8,1.2,63.6,1,1.7,2.7,0.5,0.4,0.4,0.7,1.5,0,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Bass,LAC,31,50,27,23,11.1,5.5,2,3.6,57,0,0.1,2.0,33.3,1.4,1.6,87.5,0.8,1.7,2.5,0.4,0.6,0.3,0.2,0.9,0,0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Ingram,LAL,19,77,25,52,28.8,9.3,3.4,8.5,40.5,0.7,2.4,2.8,29.7,1.7,2.7,62.3,0.7,3.2,4,2,1.4,0.6,0.5,2,0,0,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Jennings,WAS,27,79,36,43,22.1,7.3,2.4,6.6,36.5,1,3.1,1.4,32.1,1.4,1.9,75,0.4,2.1,2.4,4.9,1.6,0.8,0.1,1.4,3,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Knight,PHX,25,54,16,38,21.1,11,3.9,9.7,39.8,0.8,2.6,3.0,32.4,2.4,2.9,85.7,0.5,1.7,2.2,2.4,1.6,0.5,0.1,1.6,0,0,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Rush,MIN,31,45,15,30,21.9,4.2,1.5,4,37.2,0.9,2.4,0.6,38.9,0.3,0.4,75,0.3,1.8,2.1,1,0.6,0.5,0.5,0.9,0,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Roberts,CHA,31,39,16,23,9.2,3.4,1.1,2.7,39,0.4,1,0.7,42.1,0.8,1,84.6,0.1,0.8,0.9,1.3,0.5,0.2,0,0.5,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
Briante Weber,CHA,24,18,12,6,8.9,2.7,1.2,2.6,44.7,0,0.3,1.2,0,0.4,0.6,70,0.4,0.8,1.2,0.9,0.3,0.6,0.1,0.7,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Brice Johnson,LAC,22,2,0,2,3.3,1,0.5,2,25,0,0,0.7,0,0,0,0,0.5,1,1.5,0.5,0.5,0.5,0.5,0,0,0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
Brook Lopez,BKN,29,74,20,54,29.6,20.5,7.4,15.6,47.4,1.8,5.1,5.6,35,3.9,4.9,80.8,1.6,3.8,5.3,2.4,2.5,0.5,1.7,2.6,2,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Caboclo,TOR,21,8,7,1,2.9,0.4,0.1,0.6,20,0.1,0.4,0.4,33.3,0,0,0,0.4,0.4,0.8,0.4,0.3,0.3,0,0.4,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Bryn Forbes,SAS,23,35,24,11,7.8,2.6,1,2.7,36.8,0.5,1.4,0.5,32,0.1,0.2,83.3,0.1,0.6,0.6,0.6,0.3,0,0,0.5,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,
Buddy Hield,SAC,23,80,30,50,22.7,10.3,3.9,9.2,42.1,1.8,4.6,2.2,38.7,0.8,0.9,86.1,0.4,2.8,3.2,1.5,1.2,0.5,0.1,1.4,0,0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Watson,ORL,32,62,20,42,16.3,4.5,1.5,4,38.7,0.5,1.7,#N/A,30.5,0.9,1.1,86.4,0.3,1.2,1.4,1.8,0.8,0.7,0,1.4,0,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Payne,CHI,22,31,16,15,14.9,5.2,2.1,6.2,33.2,0.9,2.8,1.2,31.4,0.2,0.3,62.5,0.1,1.5,1.5,1.8,0.9,0.5,0.1,1.7,0,0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,
Caris LeVert,BKN,22,55,15,40,21.5,8.1,2.9,6.5,45.6,1,3.1,2.0,32.9,1.2,1.7,71.4,0.4,2.9,3.3,1.9,1,0.9,0.1,1.6,0,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,
Carmelo Anthony,NYK,32,73,28,45,34.5,22.5,8.2,18.8,43.3,2.1,5.8,6.1,36,4.1,5,83.1,0.8,5.1,6,2.9,2.1,0.8,0.5,2.7,7,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,
Chandler Parsons,MEM,28,34,18,16,19.8,6.2,2.2,6.5,33.8,0.7,2.7,1.5,26.9,1,1.3,81.4,0.2,2.3,2.5,1.6,0.7,0.6,0.1,1.5,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,
Channing Frye,CLE,33,72,44,28,18.9,9,3.2,7,45.5,1.8,4.6,1.4,40.5,0.8,0.9,83.8,0.5,3.4,3.9,0.6,0.7,0.4,0.5,1.9,2,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
Chasson Randle,NYK,24,25,7,18,10.9,5,1.4,3.6,38.9,0.6,1.8,0.9,33.3,1.6,1.7,95.2,0.2,1,1.2,1.4,0.6,0.3,0.1,1.4,0,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Cheick Diallo,NOP,20,15,8,7,9.5,3.7,1.5,3.8,40.4,0,0,2.1,0,0.7,0.9,71.4,1.1,2,3.1,0.3,0.3,0.2,0.3,0.7,1,0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,
Chinanu Onuaku,HOU,20,4,2,2,7.6,3,1,1.3,80,0,0,1.0,0,1,1,100,0.3,0.8,1,0.8,0.5,0.5,0.3,0.5,0,0,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Andersen,CLE,38,12,8,4,9.5,2.3,0.8,1.8,40.9,0,0.3,0.8,0,0.8,1.2,71.4,0.8,1.8,2.6,0.4,0.4,0.4,0.6,1.7,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Chris McCullough,WAS,22,15,1,14,4.9,2.4,1.1,2.1,51.6,0.1,0.4,0.9,16.7,0.2,0.3,60,0.6,0.5,1.1,0.1,0.1,0.1,0.1,0.5,0,0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Paul,LAC,31,59,41,18,31.5,18.1,6.2,12.9,47.7,2,5,4.1,40.5,3.8,4.3,88.8,0.7,4.3,5,9.2,2.5,1.9,0.1,2.4,24,1,8.9,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Wood,CHA,21,12,5,7,7.8,2.6,0.8,1.7,50,0,0.4,0.9,0,0.9,1.1,84.6,1.1,1.1,2.2,0.2,0.5,0.3,0.5,0.8,0,0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,
CJ McCollum,POR,25,80,40,40,34.9,23,8.7,18,48,2.3,5.5,#N/A,42.1,3.4,3.7,91.2,0.8,2.9,3.6,3.6,2.2,0.9,0.5,2.5,1,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Miles,IND,30,74,37,37,23.4,10.8,3.7,8.5,43.6,2.2,5.4,#N/A,41.6,1.1,1.3,90.3,0.4,2.6,3,0.6,0.5,0.6,0.3,2,0,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
CJ Wilcox,ORL,26,22,8,14,4.9,1,0.4,1.4,25.8,0.1,0.7,0.2,20,0.1,0.1,100,0.2,0.4,0.5,0.5,0.3,0.1,0,0.4,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Clint Capela,HOU,22,64,43,21,23.8,12.4,5.5,8.6,63.7,0,0,5.6,0,1.5,2.7,54,2.7,5.4,8.1,1,1.3,0.5,1.2,2.8,14,0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Zeller,CHA,24,60,33,27,27.9,10.4,4.2,7.2,57.6,0,0,4.1,0,2.1,3.2,67,2.2,4.3,6.6,1.6,1.1,1,1,3.1,6,0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Aldrich,MIN,28,61,23,38,8.5,1.7,0.7,1.4,52.4,0,0,0.7,0,0.2,0.4,68.2,0.8,1.7,2.5,0.4,0.3,0.4,0.4,1.4,1,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Brewer,LAL,31,80,46,34,15.5,4.5,1.8,4.2,41.9,0.3,1.5,1.5,22.9,0.6,0.8,74.2,0.4,1.6,2,1.1,0.7,0.7,0.3,1.6,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Cory Joseph,TOR,25,79,48,31,25.3,9.3,3.8,8.3,45.4,0.6,1.7,3.1,35.6,1.2,1.5,77,0.6,2.3,3,3.4,1.4,0.8,0.2,1.8,1,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Courtney Lee,NYK,31,76,28,48,32.1,10.9,4.2,9.2,45.6,1.4,3.5,2.8,40.2,1.1,1.2,88.2,0.7,2.7,3.4,2.4,0.9,1.1,0.3,1.8,0,0,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Felicio,CHI,24,64,29,35,15.7,4.8,2,3.4,58.1,0,0,1.9,0,0.9,1.4,65.2,1.9,2.8,4.7,0.6,0.5,0.4,0.3,1.7,3,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Augustin,ORL,29,76,28,48,19.7,8,2.5,6.7,38.1,1.3,3.5,#N/A,35.6,1.7,2.1,81.8,0.2,1.3,1.5,2.7,1.1,0.4,0,1.3,0,0,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Jones,GSW,21,9,6,3,7.3,1.7,0.7,1.4,46.2,0,0,0.8,0,0.3,0.9,37.5,1,0.8,1.8,0,0.6,0.1,0.2,1.3,0,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Lillard,POR,26,75,38,37,35.9,27,8.8,19.8,44.4,2.9,7.7,6.0,37,6.5,7.3,89.5,0.6,4.3,4.9,5.9,2.6,0.9,0.3,2,11,0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Damjan Rudez,ORL,30,44,12,32,7,1.8,0.7,1.9,35.3,0.5,1.5,0.2,31.3,0,0,0,0.1,0.5,0.6,0.5,0.2,0.3,0,0.7,0,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
D'Angelo Russell,LAL,21,63,21,42,28.7,15.6,5.6,13.8,40.5,2.1,6.1,3.4,35.2,2.3,3,78.2,0.5,3,3.5,4.8,2.8,1.4,0.3,2.1,2,0,-5.7,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Ochefu,WAS,23,18,12,6,3.2,0.9,0.4,1.2,38.1,0,0,0.6,0,0,0.1,0,0.2,0.9,1.1,0.1,0.2,0.1,0,0.9,0,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Danilo Gallinari,DEN,28,63,31,32,33.9,18.2,5.3,11.9,44.7,2,5.1,3.3,38.9,5.5,6.1,90.2,0.6,4.5,5.2,2.1,1.3,0.6,0.2,1.5,4,0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Green,SAS,29,66,51,15,26.8,7.4,2.6,6.6,39.5,1.8,4.6,0.9,38.4,0.4,0.5,84.4,0.4,2.8,3.3,1.8,1.1,1,0.8,1.8,0,0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Dante Cunningham,NOP,29,64,27,37,25.1,6.5,2.6,5.4,47.7,1,2.7,1.6,38.5,0.3,0.4,59.3,0.9,3.3,4.2,0.6,0.4,0.6,0.4,1.5,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Dante Exum,UTA,21,64,38,26,18.4,6.3,2.4,5.4,43.5,0.7,2.2,1.7,30.5,0.9,1.1,79.5,0.4,1.5,2,1.7,1.2,0.3,0.2,2.2,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Danuel House,WAS,23,1,0,1,0.8,0,0,0,0,0,0,#N/A,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Saric,PHI,23,80,28,52,26.3,12.9,4.7,11.5,41.2,1.3,4.2,3.4,31.2,2.1,2.7,78,1.4,5,6.3,2.2,2.2,0.7,0.4,2,10,0,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Arthur,DEN,29,39,18,21,15.3,6.2,2.3,5.1,45.2,1.3,2.7,1.0,46.2,0.3,0.3,84.6,0.6,2.1,2.7,1.1,0.9,0.4,0.5,1.9,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Collison,SAC,29,68,26,42,30.3,13.2,5,10.5,47.6,1.1,2.6,3.9,41.7,2.2,2.5,86,0.3,1.9,2.2,4.6,1.7,1,0.1,1.8,4,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Darrun Hilliard,DET,23,37,19,18,9.5,3.1,1.1,3.1,36.3,0.3,1.2,0.9,27.9,0.5,0.7,73.1,0.1,0.8,0.9,0.8,0.6,0.3,0.1,0.9,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
David Lee,SAS,33,77,58,19,18.6,7.4,3.2,5.3,59.6,0,0,3.1,0,1,1.4,72,1.9,3.7,5.6,1.6,1,0.4,0.5,1.6,7,0,4,,,,,,,,,,,,,,,,,,,,,,,,,
David Nwaba,LAL,24,18,4,14,19.1,5.6,2.2,3.8,56.5,0.1,0.3,2.3,20,1.2,1.9,62.9,0.9,2.3,3.2,0.6,0.4,0.6,0.4,1.7,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
David West,GSW,36,66,55,11,12.5,4.6,2,3.6,54.2,0,0.1,1.9,37.5,0.7,0.8,76.8,0.7,2.3,3,2.2,1.1,0.6,0.7,1.5,0,0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,
Davis Bertans,SAS,24,65,51,14,12,4.5,1.5,3.5,44.4,1,2.5,0.5,40.6,0.4,0.5,81.8,0.3,1.1,1.5,0.7,0.5,0.3,0.4,1.1,0,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre' Bembry,ATL,22,37,20,17,9.2,2.5,1.2,2.5,47.8,0,0.4,1.2,0,0.2,0.4,37.5,0.3,1.1,1.4,0.7,0.4,0.2,0.1,0.5,0,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre Jordan,LAC,28,79,49,30,31.8,12.6,5,7.1,71.3,0,0,5.1,0,2.5,5.3,48.4,3.6,10.1,13.8,1.2,1.4,0.6,1.6,2.6,39,0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,
DeAndre Liggins,CLE,29,61,39,22,12.3,2.4,0.9,2.2,38.2,0.3,0.7,0.6,37.8,0.4,0.6,62.2,0.3,1.4,1.7,0.9,0.7,0.7,0.2,1.3,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
